Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
320,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
321,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
322,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
323,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
324,1.98,4.31,100,1.00,1.84,10.00,4.00,5.50,-1
325,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
326,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
327,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
328,1.98,4.31,100,0.00,0.00,0.31,3.00,10.00,-1
329,1.98,4.31,100,1.00,4.34,10.00,4.00,3.35,-1
330,1.98,4.31,100,0.00,0.00,0.82,3.00,10.00,-1
331,1.98,4.31,100,0.00,0.00,0.77,3.00,10.00,-1
332,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
333,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
334,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
335,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
336,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
337,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
338,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
339,1.98,4.31,100,1.00,1.84,10.00,4.00,5.50,-1
340,1.98,4.31,100,1.00,3.18,10.00,4.00,3.43,-1
341,1.98,4.31,100,1.00,2.82,10.00,4.00,3.67,-1
342,1.98,4.31,100,1.00,2.90,10.00,4.00,3.66,-1
343,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
344,1.98,4.31,100,1.00,1.86,10.00,4.00,5.48,-1
345,1.98,4.31,100,0.00,0.00,0.15,3.00,10.00,-1
346,1.98,4.31,100,1.00,3.99,10.00,4.00,3.27,-1
347,1.98,4.31,100,1.00,3.99,10.00,4.00,3.27,-1
348,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
349,1.98,4.31,100,1.00,3.26,10.00,4.00,3.81,-1
350,1.98,4.31,100,0.00,0.00,0.84,3.00,10.00,-1
351,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
352,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
353,1.98,4.31,100,1.00,1.62,10.00,4.00,6.12,-1
354,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
355,1.98,4.31,100,0.00,0.00,0.54,3.00,10.00,-1
356,1.98,4.31,100,0.00,0.00,0.40,3.00,10.00,-1
357,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
358,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
359,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
360,1.98,4.31,100,1.00,2.02,10.00,4.00,5.05,-1
361,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
362,1.98,4.31,100,0.00,0.00,0.16,3.00,10.00,-1
363,1.98,4.31,100,1.00,3.63,10.00,4.00,3.59,-1
364,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
365,1.98,4.31,100,0.00,0.00,0.84,3.00,10.00,-1
366,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
367,1.98,4.31,100,1.00,1.62,10.00,4.00,6.13,-1
368,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
369,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
370,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
371,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
372,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
373,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
374,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
375,1.98,4.31,100,0.00,0.00,0.17,3.00,10.00,-1
376,1.98,4.31,100,1.00,3.05,10.00,4.00,4.27,-1
377,1.98,4.31,100,1.00,3.66,10.00,4.00,3.66,-1
378,1.98,4.31,100,0.00,0.00,0.89,3.00,10.00,-1
379,1.98,4.31,100,1.00,2.96,10.00,4.00,3.96,-1
380,1.98,4.31,100,0.00,0.00,0.89,3.00,10.00,-1
381,1.98,4.31,100,1.00,1.62,10.00,4.00,6.14,-1
382,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
383,1.98,4.31,100,0.00,0.00,0.52,3.00,10.00,-1
384,1.98,4.31,100,0.00,0.00,0.51,3.00,10.00,-1
385,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
386,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
387,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
388,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
389,1.98,4.31,100,1.00,3.65,10.00,4.00,3.84,-1
390,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
391,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
