Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
191,0.271491,0.671618,3.756987,-0.998388,-0.988301
192,0.309638,1.259054,4.940385,-0.761390,-1.319019
193,0.648608,0.932930,1.039750,-0.966705,-1.987765
194,0.317199,1.191231,4.700573,-0.993540,-1.515314
195,0.271491,0.676682,3.891594,-0.999954,-0.988301
196,0.465715,0.671649,0.097156,-0.935140,-2.168221
197,0.275624,0.674152,3.857503,-0.997512,-0.989738
198,0.637186,1.188686,1.007229,-0.730451,-3.468774
199,0.319566,1.230983,4.856804,-0.993359,-1.518714
200,0.271491,0.676632,3.891594,-0.999921,-0.988301
201,0.465715,0.671649,0.083007,-0.924949,-2.168221
202,0.275575,0.676125,3.857503,-0.995230,-0.989679
203,0.637222,1.190659,1.007372,-0.709556,-3.468774
204,0.317199,1.190659,4.940385,-0.992671,-1.089496
205,0.317199,1.227324,4.856804,-0.991461,-1.492177
206,0.317199,1.190659,4.687693,-0.991117,-1.515314
207,0.275663,0.680202,3.772864,-0.993210,-0.989732
208,0.271491,0.674152,3.857503,-0.999682,-0.988301
209,0.648608,0.933353,1.096531,-0.820820,-1.925580
210,0.647813,1.190659,0.954550,-0.658144,-1.953172
211,0.668160,0.936073,1.039750,-0.678463,-1.947118
212,0.650773,0.941191,1.142579,-0.703860,-1.933747
213,0.672459,0.936073,1.039750,-0.636691,-1.957478
214,0.317199,1.227324,4.798109,-0.977626,-1.515314
215,0.315817,1.190659,4.768041,-0.989351,-1.497222
216,0.271491,0.674200,3.857503,-0.999676,-0.988301
217,0.648608,0.930862,1.146676,-0.676958,-1.925580
218,0.327237,1.196658,4.940385,-0.982604,-1.113752
219,0.317199,1.216452,4.664246,-0.800980,-1.468836
220,0.317087,1.269728,4.856804,-0.812972,-1.440508
221,0.307145,1.175057,4.848490,-0.982398,-1.429288
222,0.271491,0.673579,3.844622,-0.999594,-0.988301
223,0.307124,1.175057,4.847530,-0.982252,-1.428486
224,0.271491,0.676682,3.891594,-0.999954,-0.988301
225,0.275624,0.674152,3.857503,-0.997512,-0.989738
226,0.317199,1.191231,4.700573,-0.993540,-1.515314
227,0.319566,1.230983,4.856804,-0.993359,-1.518714
